__run_id,__done,alg,subject,energy-pkg,energy-ram,execution-time
run_12_repetition_9,DONE,npm,npm/@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6.tgz,70.14,8.47,1.095882608
run_64_repetition_18,DONE,zstd,zstd/@esbuild__linux-x64--linux-x64-0.28.0.tar.zst,3.25,0.38,0.048537285
run_104_repetition_4,DONE,brotli,brotli/@esbuild__linux-ia32--linux-ia32-0.28.0.tar.br,5.73,0.69,0.088613327
run_58_repetition_2,DONE,zopfli,zopfli/@esbuild__darwin-x64--darwin-x64-0.28.0.tgz,8.17,1.0,0.128356299
run_23_repetition_7,DONE,xz,xz/@next__swc-darwin-x64--swc-darwin-x64-16.2.6.tar.xz,166.24,19.89,2.593830858
run_27_repetition_7,DONE,xz,xz/@next__swc-win32-x64-msvc--swc-win32-x64-msvc-16.2.6.tar.xz,174.97,20.97,2.730404875
run_14_repetition_0,DONE,npm,npm/@esbuild__openbsd-x64--openbsd-x64-0.28.0.tgz,7.69,0.93,0.119733622
run_96_repetition_13,DONE,brotli,brotli/@next__swc-win32-arm64-msvc--swc-win32-arm64-msvc-16.2.6.tar.br,36.01,4.35,0.558990693
run_6_repetition_9,DONE,npm,npm/next--next-16.2.6.tgz,79.96,9.54,1.242833346
run_5_repetition_2,DONE,npm,npm/@esbuild__aix-ppc64--aix-ppc64-0.28.0.tgz,7.96,0.95,0.123949543
run_65_repetition_6,DONE,zstd,zstd/@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6.tar.zst,29.54,3.54,0.446797116
run_0_repetition_2,DONE,npm,npm/@next__swc-darwin-arm64--swc-darwin-arm64-16.2.6.tgz,67.39,8.06,1.052850712
run_2_repetition_0,DONE,npm,npm/@esbuild__win32-ia32--win32-ia32-0.28.0.tgz,7.57,0.91,0.117711568
run_79_repetition_3,DONE,zstd,zstd/@next__swc-linux-x64-gnu--swc-linux-x64-gnu-16.2.6.tar.zst,31.11,3.72,0.467775318
run_96_repetition_17,DONE,brotli,brotli/@next__swc-win32-arm64-msvc--swc-win32-arm64-msvc-16.2.6.tar.br,36.08,4.34,0.55607813
run_44_repetition_1,DONE,zopfli,zopfli/@esbuild__win32-ia32--win32-ia32-0.28.0.tgz,7.8,0.93,0.122422237
run_7_repetition_15,DONE,npm,npm/@next__swc-linux-arm64-gnu--swc-linux-arm64-gnu-16.2.6.tgz,70.34,8.54,1.101339227
run_37_repetition_26,DONE,xz,xz/@next__swc-linux-x64-musl--swc-linux-x64-musl-16.2.6.tar.xz,180.42,21.36,2.803063391
run_71_repetition_25,DONE,zstd,zstd/aws-sdk--aws-sdk-2.1693.0.tar.zst,14.67,1.76,0.217133444
run_101_repetition_25,DONE,brotli,brotli/@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6.tar.br,40.63,4.96,0.634613404
run_2_repetition_14,DONE,npm,npm/@esbuild__win32-ia32--win32-ia32-0.28.0.tgz,7.55,0.9,0.117825238
