name,size,_key
brotli/@aws-cdk__cloud-assembly-schema--cloud-assembly-schema-53.27.0.tar.br,112877,@aws-cdk__cloud-assembly-schema--cloud-assembly-schema-53.27.0
brotli/@babel__plugin-transform-regexp-modifiers--plugin-transform-regexp-modifiers-7.28.6.tar.br,1825,@babel__plugin-transform-regexp-modifiers--plugin-transform-regexp-modifiers-7.28.6
brotli/@esbuild__linux-ia32--linux-ia32-0.28.0.tar.br,3514848,@esbuild__linux-ia32--linux-ia32-0.28.0
brotli/@eslint__eslintrc--eslintrc-3.3.5.tar.br,54972,@eslint__eslintrc--eslintrc-3.3.5
brotli/@ethersproject__abstract-signer--abstract-signer-5.8.0.tar.br,12188,@ethersproject__abstract-signer--abstract-signer-5.8.0
brotli/@modelcontextprotocol__sdk--sdk-1.29.0.tar.br,274075,@modelcontextprotocol__sdk--sdk-1.29.0
brotli/@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6.tar.br,24776148,@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6
brotli/@opentelemetry__semantic-conventions--semantic-conventions-1.41.1.tar.br,254027,@opentelemetry__semantic-conventions--semantic-conventions-1.41.1
brotli/@parcel__watcher--watcher-2.5.6.tar.br,28994,@parcel__watcher--watcher-2.5.6
brotli/@radix-ui__primitive--primitive-1.1.3.tar.br,3219,@radix-ui__primitive--primitive-1.1.3
brotli/@sindresorhus__is--is-8.1.0.tar.br,19969,@sindresorhus__is--is-8.1.0
brotli/@types__glob--glob-9.0.0.tar.br,904,@types__glob--glob-9.0.0
brotli/@types__uuid--uuid-11.0.0.tar.br,907,@types__uuid--uuid-11.0.0
brotli/@vue__reactivity--reactivity-3.5.34.tar.br,30100,@vue__reactivity--reactivity-3.5.34
brotli/assert-plus--assert-plus-1.0.0.tar.br,3396,assert-plus--assert-plus-1.0.0
brotli/aws-sdk--aws-sdk-2.1693.0.tar.br,7348660,aws-sdk--aws-sdk-2.1693.0
brotli/babel-helper-get-function-arity--babel-helper-get-function-arity-6.24.1.tar.br,809,babel-helper-get-function-arity--babel-helper-get-function-arity-6.24.1
brotli/babel-plugin-check-es2015-constants--babel-plugin-check-es2015-constants-6.22.0.tar.br,1420,babel-plugin-check-es2015-constants--babel-plugin-check-es2015-constants-6.22.0
brotli/babel-plugin-transform-exponentiation-operator--babel-plugin-transform-exponentiation-operator-6.24.1.tar.br,1167,babel-plugin-transform-exponentiation-operator--babel-plugin-transform-exponentiation-operator-6.24.1
brotli/client-only--client-only-0.0.1.tar.br,455,client-only--client-only-0.0.1
brotli/date-fns--date-fns-4.3.0.tar.br,1014385,date-fns--date-fns-4.3.0
brotli/dom-accessibility-api--dom-accessibility-api-0.7.1.tar.br,34927,dom-accessibility-api--dom-accessibility-api-0.7.1
brotli/encoding-sniffer--encoding-sniffer-1.0.2.tar.br,16553,encoding-sniffer--encoding-sniffer-1.0.2
