name,size,_key
xz/@aws-cdk__cloud-assembly-schema--cloud-assembly-schema-53.27.0.tar.xz,117496,@aws-cdk__cloud-assembly-schema--cloud-assembly-schema-53.27.0
xz/@babel__plugin-transform-regexp-modifiers--plugin-transform-regexp-modifiers-7.28.6.tar.xz,2260,@babel__plugin-transform-regexp-modifiers--plugin-transform-regexp-modifiers-7.28.6
xz/@esbuild__linux-ia32--linux-ia32-0.28.0.tar.xz,3417336,@esbuild__linux-ia32--linux-ia32-0.28.0
xz/@eslint__eslintrc--eslintrc-3.3.5.tar.xz,60632,@eslint__eslintrc--eslintrc-3.3.5
xz/@ethersproject__abstract-signer--abstract-signer-5.8.0.tar.xz,13028,@ethersproject__abstract-signer--abstract-signer-5.8.0
xz/@modelcontextprotocol__sdk--sdk-1.29.0.tar.xz,281844,@modelcontextprotocol__sdk--sdk-1.29.0
xz/@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6.tar.xz,23000424,@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6
xz/@opentelemetry__semantic-conventions--semantic-conventions-1.41.1.tar.xz,280836,@opentelemetry__semantic-conventions--semantic-conventions-1.41.1
xz/@parcel__watcher--watcher-2.5.6.tar.xz,30560,@parcel__watcher--watcher-2.5.6
xz/@radix-ui__primitive--primitive-1.1.3.tar.xz,3700,@radix-ui__primitive--primitive-1.1.3
xz/@sindresorhus__is--is-8.1.0.tar.xz,21212,@sindresorhus__is--is-8.1.0
xz/@types__glob--glob-9.0.0.tar.xz,1224,@types__glob--glob-9.0.0
xz/@types__uuid--uuid-11.0.0.tar.xz,1220,@types__uuid--uuid-11.0.0
xz/@vue__reactivity--reactivity-3.5.34.tar.xz,33816,@vue__reactivity--reactivity-3.5.34
xz/assert-plus--assert-plus-1.0.0.tar.xz,3968,assert-plus--assert-plus-1.0.0
xz/aws-sdk--aws-sdk-2.1693.0.tar.xz,7411028,aws-sdk--aws-sdk-2.1693.0
xz/babel-helper-get-function-arity--babel-helper-get-function-arity-6.24.1.tar.xz,1008,babel-helper-get-function-arity--babel-helper-get-function-arity-6.24.1
xz/babel-plugin-check-es2015-constants--babel-plugin-check-es2015-constants-6.22.0.tar.xz,1692,babel-plugin-check-es2015-constants--babel-plugin-check-es2015-constants-6.22.0
xz/babel-plugin-transform-exponentiation-operator--babel-plugin-transform-exponentiation-operator-6.24.1.tar.xz,1392,babel-plugin-transform-exponentiation-operator--babel-plugin-transform-exponentiation-operator-6.24.1
xz/client-only--client-only-0.0.1.tar.xz,636,client-only--client-only-0.0.1
xz/date-fns--date-fns-4.3.0.tar.xz,1116780,date-fns--date-fns-4.3.0
xz/dom-accessibility-api--dom-accessibility-api-0.7.1.tar.xz,36636,dom-accessibility-api--dom-accessibility-api-0.7.1
xz/encoding-sniffer--encoding-sniffer-1.0.2.tar.xz,17564,encoding-sniffer--encoding-sniffer-1.0.2
xz/eslint-config-react-app--eslint-config-react-app-7.0.1.tar.xz,5796,eslint-config-react-app--eslint-config-react-app-7.0.1
xz/eslint-plugin-import--eslint-plugin-import-2.32.0.tar.xz,295652,eslint-plugin-import--eslint-plugin-import-2.32.0
xz/ethers--ethers-6.16.0.tar.xz,932920,ethers--ethers-6.16.0
xz/fetch-blob--fetch-blob-4.0.0.tar.xz,8092,fetch-blob--fetch-blob-4.0.0
xz/got--got-15.0.5.tar.xz,64592,got--got-15.0.5
xz/has-to-string-tag-x--has-to-string-tag-x-2.1.2.tar.xz,19816,has-to-string-tag-x--has-to-string-tag-x-2.1.2
xz/highlight.js--highlight.js-11.11.1.tar.xz,502752,highlight.js--highlight.js-11.11.1
xz/html-escaper--html-escaper-3.0.3.tar.xz,5176,html-escaper--html-escaper-3.0.3
xz/iconv-lite--iconv-lite-0.7.2.tar.xz,111376,iconv-lite--iconv-lite-0.7.2
xz/immer--immer-11.1.8.tar.xz,69804,immer--immer-11.1.8
xz/jiti--jiti-2.7.0.tar.xz,307176,jiti--jiti-2.7.0
xz/libphonenumber-js--libphonenumber-js-1.13.3.tar.xz,512416,libphonenumber-js--libphonenumber-js-1.13.3
xz/linkify-it--linkify-it-5.0.1.tar.xz,11000,linkify-it--linkify-it-5.0.1
xz/lodash-es--lodash-es-4.18.1.tar.xz,109248,lodash-es--lodash-es-4.18.1
xz/next--next-16.2.6.tar.xz,11146420,next--next-16.2.6
xz/node-notifier--node-notifier-10.0.1.tar.xz,1421708,node-notifier--node-notifier-10.0.1
xz/path-dirname--path-dirname-1.0.2.tar.xz,2560,path-dirname--path-dirname-1.0.2
xz/prettier--prettier-3.8.3.tar.xz,947932,prettier--prettier-3.8.3
xz/prismjs--prismjs-1.30.0.tar.xz,398252,prismjs--prismjs-1.30.0
xz/prop-types--prop-types-15.8.1.tar.xz,16592,prop-types--prop-types-15.8.1
xz/protobufjs--protobufjs-8.4.2.tar.xz,210836,protobufjs--protobufjs-8.4.2
xz/react-dom--react-dom-19.2.6.tar.xz,290348,react-dom--react-dom-19.2.6
xz/react-error-overlay--react-error-overlay-6.1.0.tar.xz,107480,react-error-overlay--react-error-overlay-6.1.0
xz/remove-trailing-separator--remove-trailing-separator-1.1.0.tar.xz,2212,remove-trailing-separator--remove-trailing-separator-1.1.0
xz/resize-observer-polyfill--resize-observer-polyfill-1.5.1.tar.xz,18064,resize-observer-polyfill--resize-observer-polyfill-1.5.1
xz/shallowequal--shallowequal-1.1.0.tar.xz,3112,shallowequal--shallowequal-1.1.0
xz/source-list-map--source-list-map-2.0.1.tar.xz,7000,source-list-map--source-list-map-2.0.1
xz/split2--split2-4.2.0.tar.xz,4652,split2--split2-4.2.0
xz/strict-uri-encode--strict-uri-encode-2.0.0.tar.xz,1648,strict-uri-encode--strict-uri-encode-2.0.0
xz/style-loader--style-loader-4.0.0.tar.xz,12476,style-loader--style-loader-4.0.0
xz/tailwindcss--tailwindcss-4.3.0.tar.xz,91392,tailwindcss--tailwindcss-4.3.0
xz/tar--tar-7.5.15.tar.xz,200288,tar--tar-7.5.15
xz/ts-node--ts-node-10.9.2.tar.xz,138488,ts-node--ts-node-10.9.2
xz/typescript--typescript-6.0.3.tar.xz,2112144,typescript--typescript-6.0.3
xz/watchpack-chokidar2--watchpack-chokidar2-2.0.1.tar.xz,500,watchpack-chokidar2--watchpack-chokidar2-2.0.1
xz/webpack--webpack-5.107.1.tar.xz,876108,webpack--webpack-5.107.1
xz/whatwg-mimetype--whatwg-mimetype-5.0.0.tar.xz,10404,whatwg-mimetype--whatwg-mimetype-5.0.0
xz/workbox-routing--workbox-routing-7.4.1.tar.xz,39212,workbox-routing--workbox-routing-7.4.1
xz/workbox-streams--workbox-streams-7.4.1.tar.xz,24288,workbox-streams--workbox-streams-7.4.1
xz/xml2js--xml2js-0.6.2.tar.xz,642672,xml2js--xml2js-0.6.2
