name,size,_key
zopfli/@aws-cdk__cloud-assembly-schema--cloud-assembly-schema-53.27.0.tgz,156686,@aws-cdk__cloud-assembly-schema--cloud-assembly-schema-53.27.0
zopfli/@babel__plugin-transform-regexp-modifiers--plugin-transform-regexp-modifiers-7.28.6.tgz,2236,@babel__plugin-transform-regexp-modifiers--plugin-transform-regexp-modifiers-7.28.6
zopfli/@esbuild__linux-ia32--linux-ia32-0.28.0.tgz,4247590,@esbuild__linux-ia32--linux-ia32-0.28.0
zopfli/@eslint__eslintrc--eslintrc-3.3.5.tgz,130281,@eslint__eslintrc--eslintrc-3.3.5
zopfli/@ethersproject__abstract-signer--abstract-signer-5.8.0.tgz,19276,@ethersproject__abstract-signer--abstract-signer-5.8.0
zopfli/@modelcontextprotocol__sdk--sdk-1.29.0.tgz,736615,@modelcontextprotocol__sdk--sdk-1.29.0
zopfli/@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6.tgz,39367845,@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6
zopfli/@opentelemetry__semantic-conventions--semantic-conventions-1.41.1.tgz,1487540,@opentelemetry__semantic-conventions--semantic-conventions-1.41.1
zopfli/@parcel__watcher--watcher-2.5.6.tgz,34830,@parcel__watcher--watcher-2.5.6
zopfli/@radix-ui__primitive--primitive-1.1.3.tgz,3774,@radix-ui__primitive--primitive-1.1.3
zopfli/@sindresorhus__is--is-8.1.0.tgz,22306,@sindresorhus__is--is-8.1.0
zopfli/@types__glob--glob-9.0.0.tgz,1189,@types__glob--glob-9.0.0
zopfli/@types__uuid--uuid-11.0.0.tgz,1181,@types__uuid--uuid-11.0.0
zopfli/@vue__reactivity--reactivity-3.5.34.tgz,78524,@vue__reactivity--reactivity-3.5.34
zopfli/assert-plus--assert-plus-1.0.0.tgz,3936,assert-plus--assert-plus-1.0.0
zopfli/aws-sdk--aws-sdk-2.1693.0.tgz,11357726,aws-sdk--aws-sdk-2.1693.0
zopfli/babel-helper-get-function-arity--babel-helper-get-function-arity-6.24.1.tgz,956,babel-helper-get-function-arity--babel-helper-get-function-arity-6.24.1
zopfli/babel-plugin-check-es2015-constants--babel-plugin-check-es2015-constants-6.22.0.tgz,1638,babel-plugin-check-es2015-constants--babel-plugin-check-es2015-constants-6.22.0
zopfli/babel-plugin-transform-exponentiation-operator--babel-plugin-transform-exponentiation-operator-6.24.1.tgz,1333,babel-plugin-transform-exponentiation-operator--babel-plugin-transform-exponentiation-operator-6.24.1
zopfli/client-only--client-only-0.0.1.tgz,566,client-only--client-only-0.0.1
zopfli/date-fns--date-fns-4.3.0.tgz,3409698,date-fns--date-fns-4.3.0
zopfli/dom-accessibility-api--dom-accessibility-api-0.7.1.tgz,52737,dom-accessibility-api--dom-accessibility-api-0.7.1
zopfli/encoding-sniffer--encoding-sniffer-1.0.2.tgz,23669,encoding-sniffer--encoding-sniffer-1.0.2
zopfli/eslint-config-react-app--eslint-config-react-app-7.0.1.tgz,5841,eslint-config-react-app--eslint-config-react-app-7.0.1
zopfli/eslint-plugin-import--eslint-plugin-import-2.32.0.tgz,399184,eslint-plugin-import--eslint-plugin-import-2.32.0
zopfli/ethers--ethers-6.16.0.tgz,2946110,ethers--ethers-6.16.0
zopfli/fetch-blob--fetch-blob-4.0.0.tgz,8158,fetch-blob--fetch-blob-4.0.0
zopfli/got--got-15.0.5.tgz,82140,got--got-15.0.5
zopfli/has-to-string-tag-x--has-to-string-tag-x-2.1.2.tgz,28263,has-to-string-tag-x--has-to-string-tag-x-2.1.2
zopfli/highlight.js--highlight.js-11.11.1.tgz,1079588,highlight.js--highlight.js-11.11.1
zopfli/html-escaper--html-escaper-3.0.3.tgz,5280,html-escaper--html-escaper-3.0.3
zopfli/iconv-lite--iconv-lite-0.7.2.tgz,182517,iconv-lite--iconv-lite-0.7.2
zopfli/immer--immer-11.1.8.tgz,234384,immer--immer-11.1.8
zopfli/jiti--jiti-2.7.0.tgz,405749,jiti--jiti-2.7.0
zopfli/libphonenumber-js--libphonenumber-js-1.13.3.tgz,2102645,libphonenumber-js--libphonenumber-js-1.13.3
zopfli/linkify-it--linkify-it-5.0.1.tgz,12808,linkify-it--linkify-it-5.0.1
zopfli/lodash-es--lodash-es-4.18.1.tgz,157609,lodash-es--lodash-es-4.18.1
zopfli/next--next-16.2.6.tgz,33624969,next--next-16.2.6
zopfli/node-notifier--node-notifier-10.0.1.tgz,1921866,node-notifier--node-notifier-10.0.1
zopfli/path-dirname--path-dirname-1.0.2.tgz,2564,path-dirname--path-dirname-1.0.2
zopfli/prettier--prettier-3.8.3.tgz,2072662,prettier--prettier-3.8.3
zopfli/prismjs--prismjs-1.30.0.tgz,530275,prismjs--prismjs-1.30.0
zopfli/prop-types--prop-types-15.8.1.tgz,22851,prop-types--prop-types-15.8.1
zopfli/protobufjs--protobufjs-8.4.2.tgz,662272,protobufjs--protobufjs-8.4.2
zopfli/react-dom--react-dom-19.2.6.tgz,1213341,react-dom--react-dom-19.2.6
zopfli/react-error-overlay--react-error-overlay-6.1.0.tgz,122579,react-error-overlay--react-error-overlay-6.1.0
zopfli/remove-trailing-separator--remove-trailing-separator-1.1.0.tgz,2172,remove-trailing-separator--remove-trailing-separator-1.1.0
zopfli/resize-observer-polyfill--resize-observer-polyfill-1.5.1.tgz,34280,resize-observer-polyfill--resize-observer-polyfill-1.5.1
zopfli/shallowequal--shallowequal-1.1.0.tgz,3098,shallowequal--shallowequal-1.1.0
zopfli/source-list-map--source-list-map-2.0.1.tgz,7213,source-list-map--source-list-map-2.0.1
zopfli/split2--split2-4.2.0.tgz,4668,split2--split2-4.2.0
zopfli/strict-uri-encode--strict-uri-encode-2.0.0.tgz,1631,strict-uri-encode--strict-uri-encode-2.0.0
zopfli/style-loader--style-loader-4.0.0.tgz,13098,style-loader--style-loader-4.0.0
zopfli/tailwindcss--tailwindcss-4.3.0.tgz,169716,tailwindcss--tailwindcss-4.3.0
zopfli/tar--tar-7.5.15.tgz,504552,tar--tar-7.5.15
zopfli/ts-node--ts-node-10.9.2.tgz,182713,ts-node--ts-node-10.9.2
zopfli/typescript--typescript-6.0.3.tgz,4289703,typescript--typescript-6.0.3
zopfli/watchpack-chokidar2--watchpack-chokidar2-2.0.1.tgz,432,watchpack-chokidar2--watchpack-chokidar2-2.0.1
zopfli/webpack--webpack-5.107.1.tgz,1230382,webpack--webpack-5.107.1
zopfli/whatwg-mimetype--whatwg-mimetype-5.0.0.tgz,10892,whatwg-mimetype--whatwg-mimetype-5.0.0
zopfli/workbox-routing--workbox-routing-7.4.1.tgz,62310,workbox-routing--workbox-routing-7.4.1
zopfli/workbox-streams--workbox-streams-7.4.1.tgz,27452,workbox-streams--workbox-streams-7.4.1
zopfli/xml2js--xml2js-0.6.2.tgz,823716,xml2js--xml2js-0.6.2
