name,size,_key
zstd/@aws-cdk__cloud-assembly-schema--cloud-assembly-schema-53.27.0.tar.zst,120074,@aws-cdk__cloud-assembly-schema--cloud-assembly-schema-53.27.0
zstd/@babel__plugin-transform-regexp-modifiers--plugin-transform-regexp-modifiers-7.28.6.tar.zst,2168,@babel__plugin-transform-regexp-modifiers--plugin-transform-regexp-modifiers-7.28.6
zstd/@esbuild__linux-ia32--linux-ia32-0.28.0.tar.zst,3717992,@esbuild__linux-ia32--linux-ia32-0.28.0
zstd/@eslint__eslintrc--eslintrc-3.3.5.tar.zst,62638,@eslint__eslintrc--eslintrc-3.3.5
zstd/@ethersproject__abstract-signer--abstract-signer-5.8.0.tar.zst,13288,@ethersproject__abstract-signer--abstract-signer-5.8.0
zstd/@modelcontextprotocol__sdk--sdk-1.29.0.tar.zst,284283,@modelcontextprotocol__sdk--sdk-1.29.0
zstd/@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6.tar.zst,26771377,@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6
zstd/@opentelemetry__semantic-conventions--semantic-conventions-1.41.1.tar.zst,282085,@opentelemetry__semantic-conventions--semantic-conventions-1.41.1
zstd/@parcel__watcher--watcher-2.5.6.tar.zst,30925,@parcel__watcher--watcher-2.5.6
zstd/@radix-ui__primitive--primitive-1.1.3.tar.zst,3617,@radix-ui__primitive--primitive-1.1.3
zstd/@sindresorhus__is--is-8.1.0.tar.zst,21664,@sindresorhus__is--is-8.1.0
zstd/@types__glob--glob-9.0.0.tar.zst,1165,@types__glob--glob-9.0.0
zstd/@types__uuid--uuid-11.0.0.tar.zst,1154,@types__uuid--uuid-11.0.0
zstd/@vue__reactivity--reactivity-3.5.34.tar.zst,35318,@vue__reactivity--reactivity-3.5.34
zstd/assert-plus--assert-plus-1.0.0.tar.zst,3929,assert-plus--assert-plus-1.0.0
zstd/aws-sdk--aws-sdk-2.1693.0.tar.zst,6944367,aws-sdk--aws-sdk-2.1693.0
zstd/babel-helper-get-function-arity--babel-helper-get-function-arity-6.24.1.tar.zst,900,babel-helper-get-function-arity--babel-helper-get-function-arity-6.24.1
zstd/babel-plugin-check-es2015-constants--babel-plugin-check-es2015-constants-6.22.0.tar.zst,1588,babel-plugin-check-es2015-constants--babel-plugin-check-es2015-constants-6.22.0
zstd/babel-plugin-transform-exponentiation-operator--babel-plugin-transform-exponentiation-operator-6.24.1.tar.zst,1277,babel-plugin-transform-exponentiation-operator--babel-plugin-transform-exponentiation-operator-6.24.1
zstd/client-only--client-only-0.0.1.tar.zst,544,client-only--client-only-0.0.1
zstd/date-fns--date-fns-4.3.0.tar.zst,1113155,date-fns--date-fns-4.3.0
zstd/dom-accessibility-api--dom-accessibility-api-0.7.1.tar.zst,37692,dom-accessibility-api--dom-accessibility-api-0.7.1
zstd/encoding-sniffer--encoding-sniffer-1.0.2.tar.zst,17938,encoding-sniffer--encoding-sniffer-1.0.2
zstd/eslint-config-react-app--eslint-config-react-app-7.0.1.tar.zst,5791,eslint-config-react-app--eslint-config-react-app-7.0.1
