PackageName,Status,InputPath,OutputPath,OutputBytes,ElapsedMilliseconds
@adobe__css-tools--css-tools-4.5.0,repacked,../data/unpacked_2500/@adobe__css-tools--css-tools-4.5.0,../data/repacked_xz_2500/@adobe__css-tools--css-tools-4.5.0.tar.xz,34288,87.02575000643265
@adraffy__ens-normalize--ens-normalize-1.11.1,repacked,../data/unpacked_2500/@adraffy__ens-normalize--ens-normalize-1.11.1,../data/repacked_xz_2500/@adraffy__ens-normalize--ens-normalize-1.11.1.tar.xz,48692,54.34149999928195
@alloc__quick-lru--quick-lru-5.2.0,repacked,../data/unpacked_2500/@alloc__quick-lru--quick-lru-5.2.0,../data/repacked_xz_2500/@alloc__quick-lru--quick-lru-5.2.0.tar.xz,4448,12.105625006370246
@ant-design__colors--colors-8.0.1,repacked,../data/unpacked_2500/@ant-design__colors--colors-8.0.1,../data/repacked_xz_2500/@ant-design__colors--colors-8.0.1.tar.xz,7308,23.015417013084516
@aws-cdk__cloud-assembly-schema--cloud-assembly-schema-53.27.0,repacked,../data/unpacked_2500/@aws-cdk__cloud-assembly-schema--cloud-assembly-schema-53.27.0,../data/repacked_xz_2500/@aws-cdk__cloud-assembly-schema--cloud-assembly-schema-53.27.0.tar.xz,117496,181.66133400518447
@aws-crypto__crc32--crc32-5.2.0,repacked,../data/unpacked_2500/@aws-crypto__crc32--crc32-5.2.0,../data/repacked_xz_2500/@aws-crypto__crc32--crc32-5.2.0.tar.xz,10084,23.239791989908554
@aws-crypto__ie11-detection--ie11-detection-4.0.0,repacked,../data/unpacked_2500/@aws-crypto__ie11-detection--ie11-detection-4.0.0,../data/repacked_xz_2500/@aws-crypto__ie11-detection--ie11-detection-4.0.0.tar.xz,8804,22.999291992164217
@aws-crypto__sha256-browser--sha256-browser-5.2.0,repacked,../data/unpacked_2500/@aws-crypto__sha256-browser--sha256-browser-5.2.0,../data/repacked_xz_2500/@aws-crypto__sha256-browser--sha256-browser-5.2.0.tar.xz,10828,28.684290999080986
@aws-crypto__sha256-js--sha256-js-5.2.0,repacked,../data/unpacked_2500/@aws-crypto__sha256-js--sha256-js-5.2.0,../data/repacked_xz_2500/@aws-crypto__sha256-js--sha256-js-5.2.0.tar.xz,18368,40.81320800469257
@aws-crypto__supports-web-crypto--supports-web-crypto-5.2.0,repacked,../data/unpacked_2500/@aws-crypto__supports-web-crypto--supports-web-crypto-5.2.0,../data/repacked_xz_2500/@aws-crypto__supports-web-crypto--supports-web-crypto-5.2.0.tar.xz,8188,20.877000002656132
@aws-crypto__util--util-5.2.0,repacked,../data/unpacked_2500/@aws-crypto__util--util-5.2.0,../data/repacked_xz_2500/@aws-crypto__util--util-5.2.0.tar.xz,8928,27.129833004437387
@aws-sdk__abort-controller--abort-controller-3.374.0,repacked,../data/unpacked_2500/@aws-sdk__abort-controller--abort-controller-3.374.0,../data/repacked_xz_2500/@aws-sdk__abort-controller--abort-controller-3.374.0.tar.xz,5476,14.046040989342146
@aws-sdk__client-sso--client-sso-3.1053.0,repacked,../data/unpacked_2500/@aws-sdk__client-sso--client-sso-3.1053.0,../data/repacked_xz_2500/@aws-sdk__client-sso--client-sso-3.1053.0.tar.xz,26924,72.16358400182799
@aws-sdk__client-sso-oidc--client-sso-oidc-3.1053.0,repacked,../data/unpacked_2500/@aws-sdk__client-sso-oidc--client-sso-oidc-3.1053.0,../data/repacked_xz_2500/@aws-sdk__client-sso-oidc--client-sso-oidc-3.1053.0.tar.xz,34280,79.52470799500588
