__run_id,__done,alg,subject,energy-pkg,energy-ram,execution-time
run_206_repetition_11,DONE,zstd,zstd/babel-plugin-check-es2015-constants--babel-plugin-check-es2015-constants-6.22.0.tar.zst,0.26,0.03,0.003511451
run_73_repetition_12,DONE,xz,xz/@sindresorhus__is--is-8.1.0.tar.xz,0.41,0.05,0.005875255
run_251_repetition_20,DONE,zstd,zstd/xml2js--xml2js-0.6.2.tar.zst,0.97,0.11,0.014524565
run_220_repetition_11,DONE,zstd,zstd/iconv-lite--iconv-lite-0.7.2.tar.zst,0.36,0.04,0.005435874
run_143_repetition_13,DONE,zopfli,zopfli/babel-plugin-check-es2015-constants--babel-plugin-check-es2015-constants-6.22.0.tgz,0.26,0.03,0.004008639
run_190_repetition_0,DONE,zstd,zstd/@babel__plugin-transform-regexp-modifiers--plugin-transform-regexp-modifiers-7.28.6.tar.zst,0.24,0.03,0.003402303
run_305_repetition_8,DONE,brotli,brotli/tailwindcss--tailwindcss-4.3.0.tar.br,0.48,0.06,0.007596363
run_109_repetition_21,DONE,xz,xz/remove-trailing-separator--remove-trailing-separator-1.1.0.tar.xz,0.25,0.03,0.004013456
run_255_repetition_17,DONE,brotli,brotli/@eslint__eslintrc--eslintrc-3.3.5.tar.br,0.42,0.05,0.006189814
run_197_repetition_28,DONE,zstd,zstd/@parcel__watcher--watcher-2.5.6.tar.zst,0.3,0.04,0.00430793
run_273_repetition_28,DONE,brotli,brotli/dom-accessibility-api--dom-accessibility-api-0.7.1.tar.br,0.38,0.04,0.005258825
run_306_repetition_24,DONE,brotli,brotli/tar--tar-7.5.15.tar.br,0.74,0.09,0.011768884
run_4_repetition_27,DONE,npm,npm/@types__glob--glob-9.0.0.tgz,0.38,0.04,0.005534748
run_229_repetition_18,DONE,zstd,zstd/prettier--prettier-3.8.3.tar.zst,1.7,0.2,0.024848259
run_299_repetition_6,DONE,brotli,brotli/resize-observer-polyfill--resize-observer-polyfill-1.5.1.tar.br,0.32,0.04,0.004942226
run_224_repetition_27,DONE,zstd,zstd/linkify-it--linkify-it-5.0.1.tar.zst,0.23,0.03,0.003477635
run_254_repetition_0,DONE,brotli,brotli/@esbuild__linux-ia32--linux-ia32-0.28.0.tar.br,5.68,0.67,0.088829421
run_36_repetition_21,DONE,npm,npm/lodash-es--lodash-es-4.18.1.tgz,1.67,0.19,0.02539856
run_160_repetition_13,DONE,zopfli,zopfli/libphonenumber-js--libphonenumber-js-1.13.3.tgz,5.66,0.69,0.089566367
run_288_repetition_7,DONE,brotli,brotli/lodash-es--lodash-es-4.18.1.tar.br,0.58,0.07,0.009161543
run_155_repetition_5,DONE,zopfli,zopfli/highlight.js--highlight.js-11.11.1.tgz,3.58,0.43,0.05638172
run_164_repetition_7,DONE,zopfli,zopfli/node-notifier--node-notifier-10.0.1.tgz,3.44,0.41,0.053551708
run_35_repetition_8,DONE,npm,npm/@eslint__eslintrc--eslintrc-3.3.5.tgz,0.61,0.07,0.009687684
